agency_name,n_routes,total_trips,mean_trips_per_route,max_trips
Libra Travel,6,43,7.166666666666667,14
Crosskeys Coaches,6,12,2.0,2
Aintree Coachlines,6,49,8.166666666666666,28
Andrews of Tideswell,6,71,11.833333333333334,18
JW Lodge & Sons,6,14,2.3333333333333335,4
Vision Bus,6,350,58.333333333333336,118
West Berkshire Council Transport Services,6,27,4.5,11
WightLink,6,831,138.5,250
A B Coaches,6,12,2.0,2
Travelsure,6,68,11.333333333333334,16
21 Transport,5,51,10.2,18
Solus Coaches,5,69,13.8,27
Xelabus,5,14,2.8,3
Oakleys Coaches,5,60,12.0,24
Western Dales Community Bus,5,40,8.0,11
Westerbus,5,13,2.6,4
Walsall Community Transport,5,156,31.2,38
Sweeneys Garage,5,33,6.6,12
Glen Valley Tours,5,82,16.4,44
Black Cat Travel,5,98,19.6,49
Goodsir,5,54,10.8,16
United Coaches,5,351,70.2,143
Whippet Coaches,5,270,54.0,124
Williams Coaches,5,158,31.6,63
W Brownrigg,5,81,16.2,32
Totness Community Bus,5,29,5.8,11
Peter Hogg of Jedburgh,5,62,12.4,28
Evans Coaches Tregaron,5,40,8.0,17
Stanley Travel,5,252,50.4,149
Isle Valley Transport,5,23,4.6,10
Hunters Executive Coaches,5,370,74.0,176
Townlynx,5,52,10.4,43
Brookline,5,44,8.8,36
Llew Jones,5,204,40.8,102
Nefyn,4,127,31.75,77
Fowlers Travel,4,9,2.25,3
Red Funnel,4,520,130.0,202
CT Coaches,4,36,9.0,16
Sussex Coaches,4,49,12.25,43
Nottingham Minibuses and Coaches Ltd,4,28,7.0,10
HcL,4,42,10.5,16
Phoenix Coaches,4,114,28.5,36
Brian Jones Coaches,4,10,2.5,3
Blackburn Private Hire,4,48,12.0,26
C G Myall & Son,4,16,4.0,10
First & Last Mile,4,8,2.0,2
Moray Council,4,26,6.5,10
Beeline Coaches,4,47,11.75,39
Cumbria Classic Coaches,4,10,2.5,4
Avondale Coaches,4,1358,339.5,480
Andersons of Langholm,4,14,3.5,4
Argyll & Bute Council Ferries,4,450,112.5,150
Thornes Independent Ltd,4,12,3.0,6
Pat's Coaches,4,32,8.0,26
Park's of Hamilton,4,104,26.0,60
Ashbourne Community Transport,4,56,14.0,21
Lord's Travel,4,20,5.0,12
Langston & Tasker,4,16,4.0,10
Hunts Coaches,4,44,11.0,24
Vale Travel,4,73,18.25,43
Archway Travel,4,276,69.0,76
Bear Buses,4,8,2.0,2
South Yorkshire Future Tram,4,4480,1120.0,1709
Coopers Tours,4,10,2.5,4
Wilkins Travel (Port Talbot),3,6,2.0,3
Olympia Travel,3,6,2.0,2
Peoples Bus,3,6,2.0,4
Bus Na Comhairle,3,140,46.666666666666664,66
Imperial Coaches Ltd,3,6,2.0,2
Short's Travel,3,104,34.666666666666664,72
Smith & Sons,3,20,6.666666666666667,16
Centaur Coaches,3,13,4.333333333333333,5
Safeguard Buses,3,408,136.0,157
Elizabeth Yule Transport,3,70,23.333333333333332,54
ABILITY (Northants),3,12,4.0,5
Colchri Coaches,3,126,42.0,45
