lsoa_cd,lsoa_name,la_name,imd_score,imd_decile,elderly_pct,nocar_pct,nonwhite_pct,unemployment_pct,stop_count,stops_per_1k,ruc_class,cluster,archetype,desert_score,n_deprived
E01026659,King's Lynn and West Norfolk 016A,King's Lynn and West Norfolk,35.333,2,23.854289071680377,11.416781292984869,2.236609770453213,2.0953757225433525,0,0.0,RSF1,2,Elderly Rural,0.5720493442824722,7
E01031015,North Warwickshire 003G,North Warwickshire,59.861,1,20.632911392405063,30.185979971387695,2.0227560050568916,4.73186119873817,9,5.689001264222504,UN1,3,Deprived Car-Free Urban,0.5719438348165158,6
E01026685,King's Lynn and West Norfolk 013B,King's Lynn and West Norfolk,24.497,4,29.549114331723025,13.799283154121863,2.976669348350769,3.075489282385834,0,0.0,UF1,0,Affluent Urban,0.5717391688623004,4
E01012670,Blackpool 011A,Blackpool,88.186,1,9.99329309188464,58.83306320907617,9.610215053763438,7.337723424270931,1,0.670690811535882,UN1,3,Deprived Car-Free Urban,0.571557823050934,7
E01026769,North Norfolk 014B,North Norfolk,15.487,6,40.48543689320388,7.3366834170854265,1.5996122152205472,1.7204301075268817,0,0.0,RSN1,2,Elderly Rural,0.5715236298041877,5
E01018086,Fenland 009B,Fenland,32.343,3,22.185273159144895,16.260162601626014,3.67366412213741,2.6490066225165565,0,0.0,UF1,0,Affluent Urban,0.5714351779331182,6
E01026655,King's Lynn and West Norfolk 004C,King's Lynn and West Norfolk,15.827,6,37.67605633802817,10.518518518518519,0.9873060648801113,1.948051948051948,0,0.0,RLF1,2,Elderly Rural,0.5707868973022773,4
E01026441,Breckland 014C,Breckland,22.799,4,32.38036047234307,11.045655375552283,1.741293532338306,1.257396449704142,0,0.0,RSF1,2,Elderly Rural,0.5706137043517966,5
E01025588,Wyre 004F,Wyre,26.566,4,46.19402985074627,22.92817679558011,2.464525765496639,2.025931928687196,7,5.227781926811053,RLN1,2,Elderly Rural,0.5705582387267518,4
E01026784,North Norfolk 014D,North Norfolk,27.956,3,26.232558139534884,14.37371663244353,2.5116279069767433,2.765486725663717,0,0.0,RSF1,2,Elderly Rural,0.5702481865749783,7
E01034076,Copeland 004J,Cumberland,29.575,3,23.201970443349754,16.954643628509718,1.0842779694430704,3.292181069958848,0,0.0,RLF1,2,Elderly Rural,0.5702100814409496,6
E01006544,Liverpool 015C,Liverpool,71.162,1,13.61963190184049,50.627615062761514,9.023941068139962,4.8742138364779874,0,0.0,UN1,3,Deprived Car-Free Urban,0.5701747228140616,7
E01019306,Eden 006A,Westmorland and Furness,24.7,4,32.926829268292686,22.98507462686567,1.2205044751830707,2.181818181818182,0,0.0,RLF1,2,Elderly Rural,0.5696851116705632,5
E01026711,King's Lynn and West Norfolk 008B,King's Lynn and West Norfolk,34.814,2,21.488133418858244,13.990461049284578,1.0911424903722766,3.459119496855346,0,0.0,RSF1,2,Elderly Rural,0.5694786973454333,6
E01026110,East Lindsey 017B,East Lindsey,33.994,2,35.82089552238806,13.005780346820808,1.4218009478673022,2.536510376633359,4,2.710027100271003,RSF1,2,Elderly Rural,0.5694703636208646,6
E01019180,Barrow-in-Furness 009A,Westmorland and Furness,14.879,6,33.37278106508876,16.64626682986536,1.4209591474245165,1.6711229946524064,0,0.0,UF1,0,Affluent Urban,0.5693423598574656,3
E01029013,Shropshire 036C,Shropshire,21.186,5,31.32387706855792,13.307984790874524,5.854523950325252,2.460697197539303,0,0.0,RLF1,2,Elderly Rural,0.5690208402440449,5
E01020983,Hastings 011B,Hastings,63.055,1,23.040857334226388,61.74863387978142,17.61553918285331,5.482625482625482,1,0.6697923643670461,UN1,3,Deprived Car-Free Urban,0.5688983766658968,8
E01026721,King's Lynn and West Norfolk 013E,King's Lynn and West Norfolk,35.684,2,25.0,8.103448275862068,2.9689608636977005,2.8618152085036797,0,0.0,RSF1,2,Elderly Rural,0.5688785685423247,7
E01026445,Breckland 002C,Breckland,25.032,4,30.818109610802225,10.097431355181577,2.4215958713775354,2.281191806331471,0,0.0,RLF1,2,Elderly Rural,0.5684665319892013,4
E01029005,Shropshire 037C,Shropshire,23.594,4,34.15841584158416,6.877323420074349,1.8211920529801362,1.8234165067178503,0,0.0,RSF1,2,Elderly Rural,0.568404813753949,5
E01026733,North Norfolk 006C,North Norfolk,25.695,4,31.153039832285117,8.980355472404115,2.055369127516782,2.066929133858268,0,0.0,RSF1,2,Elderly Rural,0.5683988136563602,5
E01019102,Allerdale 003C,Cumberland,32.498,3,26.076107298814723,9.405255878284924,1.494396014943955,1.9722425127830532,0,0.0,RSF1,2,Elderly Rural,0.5683057146581404,6
E01026703,King's Lynn and West Norfolk 003F,King's Lynn and West Norfolk,24.814,4,33.87829246139873,6.024096385542169,1.6245487364620947,1.9467213114754098,0,0.0,RSF1,2,Elderly Rural,0.5682331589718271,5
